Event,Site,UTCDate,UTCTime,White,Black,Result,WhiteElo,BlackElo,TimeControl,Termination,PlyCount,MoveCount
Rated Bullet game,https://lichess.org/dVkzgGmD,2025.12.01,00:00:15,Ipyokuzo,arecome,0-1,2163,2094,60+0,Normal,114,57
Rated Bullet game,https://lichess.org/d30TQMwY,2025.12.01,00:00:15,neo2277,Curtisu,1-0,1344,1418,60+0,Normal,43,22
Rated Bullet game,https://lichess.org/uCh5fJNt,2025.12.01,00:00:15,floress26,isaackaito,0-1,2444,2482,60+0,Time forfeit,102,51
Rated Bullet game,https://lichess.org/1p2tpx2B,2025.12.01,00:00:15,ricardosegura,Glueckstreffer,0-1,1615,1604,60+0,Normal,72,36
Rated Bullet game,https://lichess.org/UEzqdknR,2025.12.01,00:00:15,IoannesPardo,Aleks_Rylov,0-1,1528,1493,60+0,Time forfeit,54,27
Rated Bullet game,https://lichess.org/mtyeJYAv,2025.12.01,00:00:15,abdu22,fixyx,1-0,1557,1589,60+0,Time forfeit,55,28
Rated Bullet game,https://lichess.org/LPyOANxw,2025.12.01,00:00:15,nibikaus,Rambo1919,1-0,1470,1436,60+0,Time forfeit,55,28
Rated Bullet game,https://lichess.org/S0FsgHBL,2025.12.01,00:00:15,Der_Ronny,adriansgsg,0-1,1095,1221,60+0,Time forfeit,56,28
Rated Bullet game,https://lichess.org/DwHlBQU6,2025.12.01,00:00:15,WinneTheWinner,Gobmm,0-1,1745,1741,60+0,Time forfeit,52,26
Rated Bullet game,https://lichess.org/bCiurtA5,2025.12.01,00:00:15,duka_teing,KashmirIII,1-0,1825,1771,60+0,Time forfeit,73,37
Rated Bullet game,https://lichess.org/i7qmEdE5,2025.12.01,00:00:15,Aguilar_cris,baccab,1/2-1/2,2311,2368,60+0,Normal,88,44
Rated Bullet game,https://lichess.org/zzwXtyzP,2025.12.01,00:00:15,MotherFolks,xebat1,0-1,1998,2002,60+0,Time forfeit,68,34
Rated Bullet game,https://lichess.org/ajBFaCku,2025.12.01,00:00:15,Franz-Joseph-Haydn,csquare_97,0-1,2027,2076,60+0,Normal,85,43
Rated Bullet game,https://lichess.org/yGTtdH4d,2025.12.01,00:00:15,karthikpanic,Kaspersky96,1-0,1666,1662,60+0,Time forfeit,63,32
Rated Bullet game,https://lichess.org/6dG22rE2,2025.12.01,00:00:15,madalinaruja,StormyMax,0-1,1972,1919,60+0,Time forfeit,96,48
Rated Bullet game,https://lichess.org/7lG0TArn,2025.12.01,00:00:15,amatoor98,AugustoTozzi,0-1,1873,1856,60+0,Normal,42,21
Rated Blitz game,https://lichess.org/bv4YL5WE,2025.12.01,00:00:15,Orpheus_Nirjhor,turboptichka,1-0,1368,1353,300+3,Normal,81,41
Rated Blitz game,https://lichess.org/6ThddZOe,2025.12.01,00:00:15,neymarsalas,Shumenov,1-0,800,783,300+3,Normal,113,57
Rated Blitz game,https://lichess.org/CbTQRYbE,2025.12.01,00:00:15,ShiftShift,tornade2,0-1,1288,1246,300+3,Normal,60,30
Rated Blitz game,https://lichess.org/skCuuB7y,2025.12.01,00:00:15,khet,MHSHSH,1-0,1191,1223,300+3,Time forfeit,61,31
Rated Blitz game,https://lichess.org/H6d7oKT7,2025.12.01,00:00:15,alberto778,SerKad,1-0,1718,1688,300+3,Normal,117,59
Rated Blitz game,https://lichess.org/0lxgaRRP,2025.12.01,00:00:15,SergeyAndrewSivak,JBFFF,1-0,1967,1943,300+3,Normal,85,43
Rated Blitz game,https://lichess.org/WYQDhr4n,2025.12.01,00:00:15,Champ6464,TheAgileFinancial,0-1,1003,1046,300+3,Normal,60,30
Rated Blitz game,https://lichess.org/M0oFxPAM,2025.12.01,00:00:15,luchogarmendia,NotToday101,0-1,1597,1658,300+3,Normal,40,20
Rated Blitz game,https://lichess.org/uxEt1vso,2025.12.01,00:00:15,ahmedgamil21,EdgardoHenriquez,0-1,1383,1395,300+3,Normal,116,58
Rated Blitz game,https://lichess.org/HGKXNkop,2025.12.01,00:00:15,chas1,ENGARRU,1-0,881,883,300+3,Normal,47,24
Rated Blitz game,https://lichess.org/MlG2u8yb,2025.12.01,00:00:15,RobiOs13,CblH-Poccuu,1-0,1085,1188,300+3,Normal,109,55
Rated Blitz game,https://lichess.org/FkGXFeu3,2025.12.01,00:00:16,A0038,Leite_quente,1-0,1622,1645,180+0,Normal,73,37
Rated Blitz tournament https://lichess.org/tournament/5LfTEREn,https://lichess.org/mbgAGzQO,2025.12.01,00:00:17,humpire,oleg3091,0-1,2347,2192,180+0,Normal,110,55
Rated Blitz tournament https://lichess.org/tournament/5LfTEREn,https://lichess.org/U3kBcXkE,2025.12.01,00:00:17,GalacticPlague,Wojciech_Chessny,1-0,2102,2150,180+0,Time forfeit,73,37
Rated Bullet game,https://lichess.org/gl0CBhUp,2025.12.01,00:00:20,zentron,Goshen_II,0-1,1836,1836,60+0,Time forfeit,70,35
Rated Bullet game,https://lichess.org/kAEf5CTD,2025.12.01,00:00:20,Mihailqwe,nounah,1-0,1379,1378,60+0,Time forfeit,39,20
Rated Bullet game,https://lichess.org/YnJML5SO,2025.12.01,00:00:20,Evgeniy_Levin,abd_rza_88,0-1,1569,1678,60+0,Time forfeit,58,29
Rated Bullet game,https://lichess.org/IbhsMuNs,2025.12.01,00:00:20,Ricardolabrada,Tic_toc_doc,0-1,1854,1910,60+0,Time forfeit,84,42
Rated Bullet game,https://lichess.org/maav6hAw,2025.12.01,00:00:20,rebel_rebel,zCalzo,0-1,1550,1523,60+0,Time forfeit,82,41
Rated Bullet game,https://lichess.org/QZzWEE2G,2025.12.01,00:00:20,red_owl,christian_rodryguez,1-0,1800,1801,60+0,Time forfeit,99,50
Rated Bullet game,https://lichess.org/dtAEBuls,2025.12.01,00:00:20,Warralt,Rhodium_Joe,1-0,1022,969,60+0,Time forfeit,59,30
Rated Bullet game,https://lichess.org/JJGBSGM3,2025.12.01,00:00:20,upavelru,The_Scotsman,0-1,1439,1453,60+0,Normal,50,25
Rated Bullet game,https://lichess.org/TpyWNoy3,2025.12.01,00:00:20,ER-IS,mbugi,0-1,1334,1276,60+0,Time forfeit,32,16
Rated Bullet game,https://lichess.org/CsfSRUVP,2025.12.01,00:00:20,MONT_LEO,DonsuzFare,0-1,1852,1838,60+0,Time forfeit,94,47
Rated Bullet game,https://lichess.org/qha9L6ET,2025.12.01,00:00:20,noelmape,kodan11,1-0,2223,2234,60+0,Normal,43,22
Rated Bullet game,https://lichess.org/D0zuHJd7,2025.12.01,00:00:20,ekiellll,AngelTrimino,0-1,2039,2055,60+0,Time forfeit,86,43
Rated Bullet game,https://lichess.org/5hFBNyDW,2025.12.01,00:00:20,PersonaAnonima,gus_s_chess_pie,0-1,1109,1140,60+0,Time forfeit,12,6
Rated Bullet game,https://lichess.org/dtsmUZln,2025.12.01,00:00:20,Il_Colonno,ONGAROV,0-1,2512,2476,60+0,Normal,135,68
Rated Bullet game,https://lichess.org/94VUbByR,2025.12.01,00:00:20,NextLevel8,PukOriginal,1-0,2293,2324,60+0,Time forfeit,73,37
Rated Bullet game,https://lichess.org/eFZ1CIW3,2025.12.01,00:00:20,filonex,kingslayer0o,0-1,1415,1385,60+0,Normal,22,11
Rated Rapid game,https://lichess.org/X4fssXJm,2025.12.01,00:00:20,Stunnner,LabN,1-0,1534,1404,900+0,Normal,52,26
Rated Bullet game,https://lichess.org/xNCey7Sw,2025.12.01,00:00:20,pompaci01,el_tiburon0,1-0,2306,2230,60+0,Time forfeit,69,35
Rated Blitz game,https://lichess.org/C7kUdVvZ,2025.12.01,00:00:21,Tunkicha,behruz1224,0-1,1719,1634,300+1,Time forfeit,108,54
Rated Rapid game,https://lichess.org/SVd8eyTK,2025.12.01,00:00:21,Kinga_2602,tunoperu,0-1,2046,2101,600+0,Time forfeit,88,44
Rated Rapid game,https://lichess.org/ytEJ4VkM,2025.12.01,00:00:21,niloy_wvu,psypa,0-1,1468,1477,600+0,Normal,52,26
Rated Rapid game,https://lichess.org/5BwKSXYF,2025.12.01,00:00:21,Oluwatobijohn,idntspelsogud,1-0,1339,1326,600+0,Normal,45,23
Rated Rapid game,https://lichess.org/d656qLoi,2025.12.01,00:00:21,fatart,Midasefinkin,1-0,1261,1250,600+0,Normal,37,19
Rated Rapid game,https://lichess.org/8L9tuF2d,2025.12.01,00:00:21,Kondziew,thome6,1/2-1/2,1661,1700,600+0,Normal,97,49
Rated Rapid game,https://lichess.org/llXK6W1W,2025.12.01,00:00:21,jamesdugar9,myBondBon,0-1,1627,1581,600+0,Time forfeit,10,5
Rated Rapid game,https://lichess.org/RzidUOr2,2025.12.01,00:00:21,kurdo1,preshy_kay,0-1,1484,1564,600+0,Time forfeit,148,74
Rated Rapid game,https://lichess.org/kOFYBvbJ,2025.12.01,00:00:21,pexatus,Eggmans,0-1,1026,1049,600+0,Normal,24,12
Rated Rapid game,https://lichess.org/S94rYInJ,2025.12.01,00:00:21,waltercrunkite,wonkaw1203,1-0,967,960,600+0,Normal,39,20
Rated Rapid game,https://lichess.org/a3VHl4vP,2025.12.01,00:00:21,igv,EdnaldodaSilva,0-1,1656,1642,600+0,Normal,74,37
Rated Rapid game,https://lichess.org/3nZBcFcx,2025.12.01,00:00:21,zerwal,SHADOW1990,0-1,1934,1931,600+0,Normal,64,32
Rated Rapid game,https://lichess.org/ul4Au6Vh,2025.12.01,00:00:21,khanrafat,ANIBAL45,0-1,1363,1364,600+0,Normal,58,29
Rated Blitz game,https://lichess.org/u2U3eaMc,2025.12.01,00:00:21,A3tos,PabloSanchez10,0-1,2009,1989,180+0,Normal,52,26
Rated Blitz game,https://lichess.org/RvgshrJo,2025.12.01,00:00:21,Enifenj,SezginOnline,0-1,2175,2302,180+0,Normal,43,22
Rated Rapid game,https://lichess.org/yeiqZcap,2025.12.01,00:00:21,JoeMartin,OLD_7,1-0,1341,1319,900+10,Normal,65,33
Rated Blitz game,https://lichess.org/39UeATje,2025.12.01,00:00:22,HandyDiamond12,ProPlast,1-0,1884,1933,180+0,Time forfeit,137,69
Rated Bullet game,https://lichess.org/aYVkEJ4G,2025.12.01,00:00:22,Falekine,Anibalote,0-1,1620,1661,120+1,Time forfeit,68,34
Rated Bullet game,https://lichess.org/cCnkGzD7,2025.12.01,00:00:22,mutherhead,MV21,0-1,2141,2226,30+0,Time forfeit,96,48
Rated Blitz game,https://lichess.org/YBr7XCr0,2025.12.01,00:00:23,chessdrsot,Dazzle0007,1-0,1830,1922,180+0,Time forfeit,89,45
Rated Bullet game,https://lichess.org/SY4uRFdF,2025.12.01,00:00:23,Juicy_Jeff,Nacho_666,0-1,760,920,60+0,Time forfeit,32,16
Rated Bullet game,https://lichess.org/MGHdhbPu,2025.12.01,00:00:23,squinteros,TheMadman4rmDaSouth,0-1,2404,2428,60+0,Time forfeit,82,41
Rated Bullet game,https://lichess.org/xBc8RjQd,2025.12.01,00:00:23,Praggnanaandhaa,ProfBlunderPhD,0-1,1912,1853,60+0,Normal,44,22
Rated Bullet game,https://lichess.org/SMFpcofr,2025.12.01,00:00:23,MDD123,Tails1791,1-0,1925,1928,60+0,Normal,33,17
Rated Bullet game,https://lichess.org/h9opwdYD,2025.12.01,00:00:23,CaptainNeeda,McFinchen,1-0,1819,1852,60+0,Time forfeit,63,32
Rated Bullet game,https://lichess.org/8rxU7w3Q,2025.12.01,00:00:23,Kibitz42,Arl-mks,1-0,2559,2590,60+0,Normal,49,25
Rated Bullet game,https://lichess.org/zpCktBQ4,2025.12.01,00:00:23,buffalo09,QueenEatingDragon,1-0,2877,2804,60+0,Normal,87,44
Rated Bullet game,https://lichess.org/pW1RXmDm,2025.12.01,00:00:23,shargain,PoseidonLegs,0-1,1444,1556,60+0,Time forfeit,74,37
Rated Bullet game,https://lichess.org/adHddPvl,2025.12.01,00:00:23,Qazer1,Ahmed-1977,0-1,2013,2061,60+0,Time forfeit,78,39
Rated Bullet game,https://lichess.org/AeLFNY9t,2025.12.01,00:00:23,Gaffe-no-mercy,philipdpark,1-0,2112,2130,60+0,Time forfeit,105,53
Rated Bullet game,https://lichess.org/GdiYgF4a,2025.12.01,00:00:23,SantiagoCT,Jcastro21,1-0,2158,2221,60+0,Time forfeit,71,36
Rated Bullet game,https://lichess.org/tHLourzW,2025.12.01,00:00:23,O135792468,Fenrill,1-0,1797,1724,60+0,Normal,75,38
Rated Bullet game,https://lichess.org/pQlZZfXn,2025.12.01,00:00:23,Gianluca_Campana,zzzflapjack111,0-1,1257,1260,60+0,Time forfeit,76,38
Rated Bullet game,https://lichess.org/ha6BiTul,2025.12.01,00:00:23,MEMMEDOW50,talcakeno,0-1,2311,2306,60+0,Normal,102,51
Rated Bullet game,https://lichess.org/3PNKy0qm,2025.12.01,00:00:23,TortoiseOnSteroids7,Kaandemirkiran,1-0,1795,1791,60+0,Normal,51,26
Rated Bullet game,https://lichess.org/32JJ2t1q,2025.12.01,00:00:23,GetYourEnneagramType,Arodiko,0-1,1992,1994,60+0,Normal,82,41
Rated Blitz tournament https://lichess.org/tournament/YitLVb0p,https://lichess.org/vdNbdilk,2025.12.01,00:00:24,DalsimJungle,vmachado,0-1,1635,1920,180+2,Normal,113,57
Rated Blitz tournament https://lichess.org/tournament/YitLVb0p,https://lichess.org/Gp4CdVDZ,2025.12.01,00:00:24,Frank_Vieira,rubao744,1-0,1460,1852,180+2,Abandoned,1,1
Rated Rapid tournament https://lichess.org/tournament/gPesMCza,https://lichess.org/cjiljQJ6,2025.12.01,00:00:24,harpchord,KDUBOLD,1/2-1/2,1399,1411,600+0,Time forfeit,119,60
Rated Rapid tournament https://lichess.org/tournament/gPesMCza,https://lichess.org/faQ0qD8V,2025.12.01,00:00:24,Jesua22,pjroth135,1-0,1470,1442,600+0,Normal,79,40
Rated Rapid tournament https://lichess.org/tournament/gPesMCza,https://lichess.org/po0YjRcC,2025.12.01,00:00:24,Juanracing25,Verovb,1/2-1/2,1392,1375,600+0,Normal,91,46
Rated Rapid tournament https://lichess.org/tournament/gPesMCza,https://lichess.org/YoQLiBTN,2025.12.01,00:00:24,G2-G4,loehut07,1-0,1371,1326,600+0,Normal,145,73
Rated Rapid tournament https://lichess.org/tournament/gPesMCza,https://lichess.org/0vvVycyX,2025.12.01,00:00:24,KaiserHendo2,Samarjit_2013,1-0,1295,1308,600+0,Normal,99,50
Rated Rapid tournament https://lichess.org/tournament/gPesMCza,https://lichess.org/Ghiw1sHc,2025.12.01,00:00:24,alfados,cheesein,0-1,1254,1239,600+0,Normal,40,20
Rated Rapid tournament https://lichess.org/tournament/gPesMCza,https://lichess.org/k4z0pHRC,2025.12.01,00:00:24,Gior12yp100,Lis91,1-0,1191,1202,600+0,Normal,109,55
Rated Rapid tournament https://lichess.org/tournament/gPesMCza,https://lichess.org/9El4FzPU,2025.12.01,00:00:24,mustafoqul,KiaanU,1-0,1156,1121,600+0,Normal,37,19
Rated Blitz tournament https://lichess.org/tournament/5LfTEREn,https://lichess.org/sUwGwf6c,2025.12.01,00:00:17,PimentelRO,Hard-Defenderr,1-0,2091,2102,180+0,Time forfeit,67,34
Rated Blitz tournament https://lichess.org/tournament/5LfTEREn,https://lichess.org/nebZAfl8,2025.12.01,00:00:17,MFVL,aknod,1/2-1/2,2190,2177,180+0,Time forfeit,156,78
Rated Blitz tournament https://lichess.org/tournament/5LfTEREn,https://lichess.org/lHnE6H2m,2025.12.01,00:00:17,ansfed,MexicanPlayer,0-1,1993,1996,180+0,Normal,56,28
Rated Blitz tournament https://lichess.org/tournament/5LfTEREn,https://lichess.org/rm07Ce7M,2025.12.01,00:00:17,cazadorderatas,j_fpp,0-1,1988,1983,180+0,Abandoned,0,0
Rated Blitz tournament https://lichess.org/tournament/5LfTEREn,https://lichess.org/X0jrUehl,2025.12.01,00:00:17,babbonasale,AssassinPawn23,0-1,2087,2058,180+0,Normal,88,44
Rated Blitz tournament https://lichess.org/tournament/5LfTEREn,https://lichess.org/opDA9oFu,2025.12.01,00:00:17,walteriorocha,mysticalbeanie,0-1,2030,2017,180+0,Normal,92,46
Rated Blitz tournament https://lichess.org/tournament/5LfTEREn,https://lichess.org/rdHLzmSN,2025.12.01,00:00:17,FKAC,Ghazy1,1/2-1/2,2017,2012,180+0,Normal,94,47
Rated Blitz tournament https://lichess.org/tournament/5LfTEREn,https://lichess.org/kBHvpovF,2025.12.01,00:00:17,martinfich,holaxdxd,1-0,1980,1981,180+0,Time forfeit,145,73
Rated Blitz tournament https://lichess.org/tournament/5LfTEREn,https://lichess.org/4EwXqI5C,2025.12.01,00:00:17,leontacna,Protxx,1-0,1978,1979,180+0,Normal,90,45
Rated Blitz tournament https://lichess.org/tournament/5LfTEREn,https://lichess.org/8vPN12F6,2025.12.01,00:00:17,alexuscanga,KUMUSHA1234,1-0,1960,1961,180+0,Normal,87,44
Rated Blitz tournament https://lichess.org/tournament/5LfTEREn,https://lichess.org/5wwxE382,2025.12.01,00:00:17,Markibong,Mowdud,0-1,1897,1885,180+0,Time forfeit,116,58
Rated Blitz tournament https://lichess.org/tournament/5LfTEREn,https://lichess.org/2Lh3uYOV,2025.12.01,00:00:17,MongolianChessPalace,Motochess,0-1,1928,1922,180+0,Abandoned,0,0
Rated Blitz tournament https://lichess.org/tournament/5LfTEREn,https://lichess.org/c1WJinis,2025.12.01,00:00:17,AbderrahimAzizi,Mr9iceGuy,1-0,1879,1881,180+0,Time forfeit,123,62
Rated Blitz tournament https://lichess.org/tournament/5LfTEREn,https://lichess.org/YQDJbSlZ,2025.12.01,00:00:17,rjvgjn123,Bogdanii,0-1,1859,1866,180+0,Time forfeit,114,57
Rated Blitz tournament https://lichess.org/tournament/5LfTEREn,https://lichess.org/xxwTqDF1,2025.12.01,00:00:17,Mukaka_Ray,miroslavs1962,1-0,1858,1850,180+0,Time forfeit,81,41
Rated Blitz tournament https://lichess.org/tournament/5LfTEREn,https://lichess.org/mBP8hIvj,2025.12.01,00:00:17,francheA76,ddd1you,1/2-1/2,1814,1833,180+0,Time forfeit,137,69
Rated Blitz tournament https://lichess.org/tournament/5LfTEREn,https://lichess.org/gUqtJ5A9,2025.12.01,00:00:17,AOWAD,DerHassler,0-1,1798,1809,180+0,Normal,86,43
Rated Blitz tournament https://lichess.org/tournament/5LfTEREn,https://lichess.org/Hxy6sF2c,2025.12.01,00:00:17,Killerboy_zos,Amplon,1-0,1798,1793,180+0,Normal,63,32
Rated Blitz tournament https://lichess.org/tournament/5LfTEREn,https://lichess.org/tmeEt9bw,2025.12.01,00:00:17,davidfullana,vinod0922,1-0,1789,1744,180+0,Normal,45,23
Rated Blitz tournament https://lichess.org/tournament/5LfTEREn,https://lichess.org/V0pfl8B3,2025.12.01,00:00:17,sosruko28,Bjartur77,1-0,1735,1718,180+0,Normal,121,61
Rated Blitz tournament https://lichess.org/tournament/5LfTEREn,https://lichess.org/2PcMhakT,2025.12.01,00:00:17,Orbitsun,Louis-Wu,1-0,1714,1701,180+0,Time forfeit,95,48
Rated Blitz game,https://lichess.org/ATbA3qMc,2025.12.01,00:00:17,Gengar094,Rufasto629,1-0,1664,1663,180+0,Time forfeit,87,44
Rated Blitz tournament https://lichess.org/tournament/5LfTEREn,https://lichess.org/lfnPAWZN,2025.12.01,00:00:17,pawZilla,Geri2008,1-0,1694,1645,180+0,Normal,73,37
Rated Blitz tournament https://lichess.org/tournament/5LfTEREn,https://lichess.org/WqrrC7oA,2025.12.01,00:00:17,drsamiii272,dolphindreamer,0-1,1623,1643,180+0,Time forfeit,34,17
Rated Blitz tournament https://lichess.org/tournament/5LfTEREn,https://lichess.org/CKWdz17W,2025.12.01,00:00:17,greekaussiejr,taketaketake3,0-1,1541,1555,180+0,Normal,75,38
Rated Blitz tournament https://lichess.org/tournament/5LfTEREn,https://lichess.org/BKpFqGPE,2025.12.01,00:00:17,QangaliTakugakkit,walterius,1-0,1504,1440,180+0,Normal,61,31
Rated Blitz tournament https://lichess.org/tournament/5LfTEREn,https://lichess.org/0A1ZaAMd,2025.12.01,00:00:17,qann,KALBURAN,0-1,1432,1387,180+0,Time forfeit,56,28
Rated Blitz game,https://lichess.org/JEVGxVqs,2025.12.01,00:00:17,Horadeentrenar,Gholghol,0-1,1802,1816,180+0,Normal,44,22
Rated Blitz game,https://lichess.org/l8eAZSB2,2025.12.01,00:00:17,PLUGG,simplyvi09,1-0,2079,2024,180+0,Normal,25,13
Rated Blitz game,https://lichess.org/KcYJkNLY,2025.12.01,00:00:17,FelixCuba,yasser_yassin200016,1-0,2116,2123,180+0,Normal,55,28
Rated Blitz game,https://lichess.org/jiZ9CqQ8,2025.12.01,00:00:17,rcows,rigojancsi,1-0,1475,1482,180+0,Normal,49,25
Rated Blitz game,https://lichess.org/yM6Q1zkw,2025.12.01,00:00:17,bojke88,Whoamae,1-0,1578,1560,180+0,Time forfeit,145,73
Rated Blitz game,https://lichess.org/3WGvqGwJ,2025.12.01,00:00:17,Dobrodej,Roness,1-0,1639,1645,180+0,Normal,135,68
Rated Blitz game,https://lichess.org/M1y4l13G,2025.12.01,00:00:17,Elviscar,GnevChess29,0-1,1985,2005,180+0,Time forfeit,110,55
Rated Blitz game,https://lichess.org/DHSwFmme,2025.12.01,00:00:17,HasFidanken,Juanrucinque,0-1,1756,1652,180+0,Normal,56,28
Rated Blitz game,https://lichess.org/hUvSFrab,2025.12.01,00:00:17,belmadja,Said_29,1-0,2155,2157,180+0,Normal,55,28
Rated Blitz game,https://lichess.org/wNpNQa7J,2025.12.01,00:00:17,fishheadsoup,customgamesonly,0-1,1856,1867,180+0,Normal,52,26
Rated Blitz game,https://lichess.org/StXqscqN,2025.12.01,00:00:17,Samalicious1383,driftfishing,1/2-1/2,1145,1137,180+0,Normal,97,49
Rated Blitz game,https://lichess.org/tWYTtYyN,2025.12.01,00:00:17,Glydax,Relacibo,1-0,1824,1825,180+0,Time forfeit,117,59
Rated Blitz game,https://lichess.org/Rp7aPlDx,2025.12.01,00:00:17,teakolik,ramplays,1-0,1295,1183,180+0,Time forfeit,81,41
Rated Blitz game,https://lichess.org/ApjSpdmC,2025.12.01,00:00:17,Cacho6591,NiVaJune19,1-0,834,847,180+0,Normal,3,2
Rated Blitz game,https://lichess.org/V54tlJFh,2025.12.01,00:00:17,juarg,Thermol,0-1,1914,1876,180+0,Normal,58,29
Rated Blitz game,https://lichess.org/kVo9eixF,2025.12.01,00:00:17,Mord_pol,Saracci,0-1,1779,1792,180+0,Normal,25,13
